station,station_coor,distance
1,"[25.0408578889, 121.567904444]",1792.0854906228715
2,"[25.041254, 121.55742]",1776.157320084243
3,"[25.0377972222, 121.565169444]",1383.971701725715
4,"[25.0360361111, 121.562325]",1144.8234492732204
5,"[25.0365638889, 121.5686639]",1392.0055244827818
6,"[25.034047, 121.565973]",1017.813511575311
7,"[25.0330388889, 121.565619444]",901.3154847943779
8,"[25.0352138889, 121.563688889]",1070.7031727281621
9,"[25.031785, 121.57448]",1452.4616812075458
10,"[25.0286611111, 121.566116667]",550.579564923612
11,"[25.034937, 121.55762]",1100.1473116997252
12,"[25.026679, 121.561747]",102.73182792460017
13,"[25.03809, 121.58367]",2604.6716165666244
14,"[25.06424, 121.54037]",4787.975185458873
16,"[25.036084, 121.579135]",2099.4150888058657
17,"[25.05862, 121.55514]",3713.3730019289997
18,"[25.049408, 121.55261]",2784.5158182046835
19,"[25.02863, 121.56981]",878.203863162644
21,"[25.057985, 121.548982]",3805.4963193375884
22,"[25.048824, 121.57845]",3070.805906528899
23,"[25.055074, 121.602798]",5270.422145920672
24,"[25.03293, 121.53747]",2567.396987002663
25,"[25.04543, 121.57205]",2423.785826819208
26,"[25.050142, 121.592375]",4111.985231950157
27,"[25.05469, 121.61669]",6407.121223952613
28,"[25.04814, 121.57467]",2811.501902493948
29,"[25.03164, 121.52655]",3600.515441055125
30,"[25.017054, 121.544352]",1997.1638891447276
31,"[25.022413, 121.53456]",2758.815486304442
32,"[25.023884, 121.553161]",884.3237876031706
33,"[25.04878, 121.56087]",2561.432528035377
34,"[25.058369, 121.532934]",4641.477176379626
35,"[25.059978, 121.533302]",4760.186845373716
36,"[25.02101, 121.54153]",2098.8290357374967
37,"[25.0337, 121.528988]",3411.254175639321
38,"[25.026603, 121.52944]",3250.8336880259017
39,"[25.058, 121.61422]",6392.071225916535
40,"[25.04287, 121.5864]",3133.4031661305085
41,"[25.047425, 121.613706]",5767.707073839435
42,"[25.04431, 121.58174]",2887.238135800566
43,"[25.035639, 121.614154]",5398.741777018257
